"-606,348","0,0","-35,21","-100,54","-190,109","-289,169","-411,237","-543,298","-589,321","-601,331","-606,339"
"-12,-9","0,0","-1,-1","-2,-2","-3,-3","-4,-4","-5,-5","-8,-6","-9,-7","-10,-8","-11,-8"
"-17,-9","0,0","-1,-1","-2,-1","-3,-2","-6,-4","-9,-5","-12,-7","-13,-8","-15,-9","-17,-9"
"16,8","0,0","1,0","4,2","6,3","10,4","13,6","15,7","16,8","16,8","16,8"
"17,7","0,0","1,0","4,1","6,2","9,3","11,4","14,5","16,6","17,6","17,7"
"-17,7","0,0","-2,0","-4,1","-8,3","-10,3","-12,4","-13,5","-15,6","-16,7","-17,7"
"15,-8","0,0","1,-2","4,-3","5,-4","7,-6","9,-7","11,-7","12,-7","14,-8","15,-8"
"-12,7","0,0","-1,0","-3,1","-5,2","-7,3","-9,4","-11,5","-11,6","-12,7","-12,7"
"16,-7","0,0","0,-1","3,-2","5,-4","7,-4","9,-5","11,-6","13,-6","14,-7","15,-7"
"11,-10","0,0","0,-1","2,-3","4,-5","6,-7","7,-8","9,-9","10,-9","10,-10","11,-10"
"-12,8","0,0","-1,0","-2,1","-3,2","-6,3","-8,5","-9,6","-10,7","-11,8","-11,8"
"14,-8","0,0","1,-1","3,-2","6,-4","8,-4","10,-6","13,-7","13,-7","14,-8","14,-8"
"-16,8","0,0","-2,0","-4,1","-6,3","-9,4","-12,6","-14,7","-15,8","-15,8","-16,8"
"-18,9","0,0","-1,0","-2,1","-5,2","-9,3","-11,5","-13,6","-15,7","-17,8","-17,9"
"-13,-8","0,0","-1,-1","-2,-3","-4,-4","-6,-5","-8,-6","-10,-7","-12,-7","-12,-7","-12,-8"
"-16,9","0,0","-1,0","-4,2","-7,4","-11,6","-13,7","-14,8","-15,9","-16,9","-16,9"
"-17,-9","0,0","-2,-1","-4,-3","-6,-4","-8,-6","-11,-7","-13,-8","-14,-8","-14,-8","-15,-9"
"-14,7","0,0","-1,0","-2,0","-4,2","-6,3","-8,4","-10,5","-11,6","-13,7","-14,7"
"13,8","0,0","0,0","4,1","7,3","9,4","10,5","10,6","10,6","11,7","12,7"
"12,-9","0,0","0,-1","1,-1","3,-3","6,-5","8,-6","9,-7","10,-7","11,-8","12,-8"
"13,7","0,0","1,0","4,2","7,3","9,4","11,5","11,6","11,7","12,7","13,7"
"-18,9","0,0","-1,0","-4,2","-8,4","-12,6","-15,8","-17,8","-17,9","-17,9","-18,9"
"79300,-39400","0,0","6500,-5600","16100,-12000","23100,-16800","32900,-22400","43200,-26400","50800,-29500","60300,-33300","73500,-38100","79300,-39400"
"-76000,-41000","0,0","-5300,-3500","-19100,-11500","-28600,-17600","-37300,-23400","-52300,-32000","-61100,-37200","-66300,-39300","-71800,-40600","-74800,-40600"
"-66600,-42600","0,0","-3500,-2400","-11200,-8600","-18700,-15000","-27800,-22300","-37200,-28800","-44600,-33400","-51500,-36500","-56200,-38600","-61100,-40600"
"48800,35300","0,0","-100,1100","3200,4000","11100,9200","20600,15000","28100,19400","34700,23300","41700,28400","45900,33000","47200,34100"
"-55300,-45000","0,0","-1800,-1000","-7400,-5900","-14800,-12800","-25800,-21100","-37200,-27900","-46500,-32900","-50400,-36000","-53400,-41200","-54500,-44100"
"-56500,-43900","0,0","-1500,-1800","-5800,-8200","-11900,-16900","-38300,-37900","-60100,-49900","-63500,-50400","-60600,-47300","-59200,-45800","-58100,-44700"
"82300,-46300","0,0","3200,-2100","10200,-6000","20700,-10500","31700,-15700","43800,-23600","58000,-32200","67600,-36200","74300,-39200","78200,-43300"
"70600,45700","0,0","2700,2500","7700,5600","16600,10000","29000,16500","41000,23700","53700,30900","61400,34900","64900,37600","67600,40600"
"63800,36200","0,0","2500,2300","10200,7100","23900,14700","34000,20800","39900,24400","46900,28000","55200,31500","60900,33900","62200,34700"
"77400,-35900","0,0","9600,-4100","15200,-7100","20900,-10500","24800,-12400","29900,-14200","48900,-21500","53000,-23500","59000,-27200","71400,-33900"
"68300,47900","0,0","3200,2000","20400,8500","42900,23100","46300,28600","47800,30600","52200,34800","57700,38400","62900,42100","65600,44800"
"-75300,-28700","0,0","-5600,-2000","-14400,-5300","-19000,-7100","-26300,-10000","-39200,-15000","-48700,-18700","-60800,-22000","-66900,-23900","-71100,-26100"
"51300,38300","0,0","1000,1600","2900,2900","4800,4100","7800,5900","12300,9000","20000,14100","28100,20400","37000,27200","45300,33600"
"-86800,33400","0,0","-3900,1700","-9700,4100","-18100,7500","-32900,13400","-45300,16800","-60500,21200","-74200,26600","-82700,30300","-85200,32000"
"-83700,47100","0,0","-1500,900","-7000,4000","-18800,9800","-36200,20400","-49200,28800","-61100,36300","-68300,40800","-75100,44800","-81200,46200"
"79000,-48700","0,0","2800,-1600","19500,-11700","35500,-18500","44100,-23300","55000,-29500","63200,-34200","70300,-40700","74300,-46100","76300,-47800"
"-53500,-43400","0,0","-2700,-1300","-10200,-6500","-16500,-11100","-25000,-18200","-36900,-25700","-43700,-29700","-48700,-34600","-50000,-37200","-52200,-42100"
"57300,-37600","0,0","4600,-3500","25100,-14000","38700,-20400","48000,-27400","51900,-29700","55700,-31500","57400,-32600","57400,-34100","57400,-35300"
"-50400,-44100","0,0","-3600,-3500","-8600,-12500","-13700,-23200","-18400,-29000","-23800,-33100","-32300,-37800","-41300,-41000","-46800,-42900","-49100,-43600"
"-60000,41700","0,0","-3100,2200","-12000,7300","-22600,13700","-33300,20000","-43200,26100","-49600,30400","-53900,34900","-56900,38000","-58700,40600"
"-84000,37600","0,0","-1200,500","-6100,3500","-21200,11600","-52200,26800","-66100,31000","-72800,34500","-76200,36000","-80500,37600","-85800,37600"
"88400,-46500","0,0","3000,-1800","13600,-8200","26200,-14700","38700,-20600","51100,-25500","59300,-29300","68000,-33000","74900,-37700","83200,-43900"
"-60300,29400","0,0","-3400,2400","-10500,6200","-22100,10900","-31700,14900","-39800,18100","-46200,20800","-51600,23900","-55600,26500","-58600,28500"
"57700,42600","0,0","8200,5700","13600,11800","22200,18700","30700,25300","36400,29800","43800,35100","50000,38900","55000,41800","56300,42600"
"72400,42200","0,0","9300,5600","22600,13600","35700,22000","44500,28000","52900,33500","59300,38200","63000,40200","66500,41000","69000,41500"
"77800,35900","0,0","11400,4800","35800,14500","49500,21000","58200,26000","64400,30900","69300,34900","73600,36700","75000,36800","76600,36300"
"55500,-35600","0,0","2300,-2300","8700,-7500","20600,-16400","33100,-24000","45200,-31300","50000,-34100","51000,-34500","55300,-36500","57000,-36600"
"-7540,-4650","0,0","-170,-140","-730,-610","-1780,-1390","-2570,-1850","-3310,-2230","-4230,-2710","-5030,-3140","-5880,-3550","-6490,-3890"
"7330,-4340","0,0","400,-240","1590,-930","2910,-1740","3850,-2340","4760,-2900","5490,-3220","5970,-3480","6650,-3850","7060,-4150"
"5030,3000","0,0","120,80","570,320","1540,850","2770,1580","3520,2100","4170,2520","4510,2720","4740,2810","4910,2920"
"-5710,4860","0,0","-170,150","-820,650","-1700,1360","-2610,2190","-3520,2770","-4450,3230","-4860,3750","-5170,4240","-5510,4670"
"-6370,3190","0,0","-120,60","-500,300","-1170,680","-2210,1190","-3890,1870","-5080,2420","-5750,2820","-6130,3030","-6370,3190"
"-5260,3930","0,0","-180,110","-790,460","-1940,1060","-3440,1970","-4410,2580","-4800,2980","-4990,3260","-5100,3520","-5210,3760"
"-5130,-4160","0,0","-170,-130","-530,-580","-1050,-1160","-1710,-2260","-2510,-2960","-3070,-3250","-3770,-3610","-4310,-3870","-4990,-4090"
"6620,3850","0,0","210,320","600,700","980,1000","1720,1420","2370,1830","3140,2300","4280,2860","5480,3340","6200,3710"
"5260,3550","0,0","120,110","450,340","940,620","1720,1110","2630,1680","3590,2260","4190,2730","4690,3120","5050,3390"
"8800,3170","0,0","460,190","1470,530","2710,990","4680,1800","6020,2490","6870,2810","7790,2970","8340,3010","8610,3050"
"-7040,3830","0,0","-190,70","-960,470","-2020,970","-3470,1540","-4600,2020","-5440,2370","-6060,2810","-6680,3330","-6900,3630"
"6940,-3240","0,0","170,-110","1020,-730","2940,-1580","3190,-1760","3820,-2210","5180,-2750","6090,-3120","6990,-3320","7140,-3290"
"8230,3400","0,0","310,230","1610,730","3670,1460","5530,1920","6630,2370","7120,2590","7470,2820","7910,3110","8000,3230"
"-8080,-4470","0,0","-240,-160","-1120,-660","-2450,-1250","-4010,-1900","-5350,-2660","-6490,-3270","-7440,-3770","-7830,-3980","-7910,-4120"
"-8080,-3630","0,0","-640,-250","-2260,-1030","-3570,-1720","-4550,-2160","-5580,-2580","-6660,-2990","-7180,-3170","-7340,-3210","-7530,-3320"
"5630,3700","0,0","600,420","2300,1420","3290,2080","4000,2550","4550,2950","4850,3160","5010,3290","5130,3370","5300,3500"
"-7290,-4200","0,0","-180,-140","-930,-640","-2720,-1700","-4710,-2780","-5870,-3400","-6340,-3710","-6670,-3910","-6890,-4060","-7050,-4100"
"8940,5000","0,0","690,430","2090,1260","3440,2010","4520,2600","5630,3200","7410,3920","7770,4140","8320,4490","8790,4840"
"-8810,-4160","0,0","-260,-120","-1400,-880","-3320,-1940","-5090,-2790","-6140,-3330","-7020,-3780","-7400,-3900","-7960,-4070","-8540,-4110"
"-8170,4000","0,0","-850,160","-2840,830","-4910,1640","-5910,2180","-6610,2660","-7160,3180","-7550,3580","-7900,3810","-8170,4000"
"-5250,4410","0,0","-140,190","-820,810","-2280,1760","-3560,2590","-4330,3220","-4890,3710","-5120,4010","-5200,4210","-5250,4330"
"-5160,-4580","0,0","-290,-370","-1560,-1420","-2650,-2500","-3100,-3060","-3710,-3650","-4390,-4090","-4930,-4400","-5280,-4640","-5260,-4640"
"7290,-4430","0,0","570,-260","1390,-660","2170,-1260","3050,-1830","4630,-2790","5390,-3320","6420,-4110","7080,-4330","7290,-4430"
"5230,-4510","0,0","120,-150","310,-290","470,-400","670,-560","1030,-850","1760,-1390","3010,-2410","4220,-3370","4970,-3970"
"8670,4300","0,0","830,430","1670,760","2510,1090","3870,1630","5100,2180","5870,2700","6760,3270","7780,3820","8490,4160"
"-5620,3370","0,0","-330,170","-1040,450","-1850,930","-3030,1630","-4040,2250","-4680,2650","-5230,2970","-5490,3170","-5580,3280"
"-7890,-2720","0,0","-280,-110","-890,-380","-1890,-770","-3230,-1290","-4570,-1820","-5500,-2150","-6120,-2350","-6730,-2480","-7540,-2650"
"-5990,-5220","0,0","-170,-150","-460,-450","-1090,-1020","-2270,-2410","-3710,-3770","-4290,-4460","-4960,-4870","-5670,-5180","-5870,-5220"
"8120,-4100","0,0","420,-150","1540,-600","2770,-1060","4070,-1600","5570,-2480","6660,-3120","7410,-3510","7860,-3790","8030,-3990"
"6070,4200","0,0","210,280","740,640","1730,1200","2900,2010","3700,2680","4260,3290","4530,3590","4990,3890","5710,4090"
"7470,4870","0,0","320,430","1380,1150","2690,2010","3990,2990","5090,3740","5780,4200","6450,4590","6890,4720","7410,4780"
"8670,4040","0,0","460,380","2510,1580","4510,2590","7060,3800","8380,4330","8550,4380","8710,4350","8740,4190","8670,4040"
"-5860,3550","0,0","-680,340","-1550,780","-2340,1360","-3130,1940","-3790,2460","-4460,2940","-5060,3310","-5450,3410","-5740,3500"
"7420,3150","0,0","510,270","2130,930","3840,1610","4950,2100","5760,2480","6410,2860","6590,2990","7000,3120","7150,3150"
"9070,4560","0,0","290,80","1330,440","2680,980","3960,1520","5110,2030","6260,2700","7380,3370","8450,4020","8990,4400"
"369,231","0,0","57,23","79,33","134,60","211,92","260,120","299,152","331,187","354,208","363,219"
"378,147","0,0","48,14","92,32","136,49","192,68","270,93","312,110","345,126","361,136","367,140"
"-409,-192","0,0","-17,-5","-87,-35","-141,-60","-204,-86","-269,-112","-359,-152","-378,-163","-408,-184","-417,-191"
"-338,-227","0,0","-14,-9","-44,-33","-105,-78","-180,-125","-217,-151","-243,-167","-281,-191","-298,-203","-324,-218"
"785,-316","0,0","144,-62","249,-88","384,-130","495,-174","597,-212","660,-241","714,-276","739,-290","765,-305"
"580,475","0,0","59,44","170,131","281,221","357,312","430,382","488,424","522,448","548,464","562,466"
"556,417","0,0","27,31","209,152","395,265","434,299","452,321","470,341","487,357","533,387","551,408"
"607,-341","0,0","77,-54","323,-187","385,-244","406,-279","441,-305","486,-321","563,-336","583,-343","613,-346"
"546,396","0,0","135,84","336,190","374,229","409,271","451,316","491,351","515,372","532,386","546,396"
"575,346","0,0","22,29","249,177","393,266","411,282","443,296","489,308","534,321","548,332","562,342"
"31,445","0,0","0,41","0,91","-2,133","-4,171","-7,217","-6,271","-1,327","12,380","21,417"
"870,-40","0,0","229,-8","464,-10","539,-15","633,-28","714,-33","766,-33","822,-33","847,-35","870,-40"
"266,-103","0,0","31,-14","132,-42","183,-62","198,-71","212,-79","229,-87","237,-91","245,-93","256,-98"
"-776,-182","0,0","-48,-8","-198,-48","-315,-70","-364,-80","-477,-91","-591,-111","-629,-129","-682,-156","-733,-167"
"-684,250","0,0","-60,19","-115,41","-227,83","-313,117","-404,153","-517,195","-591,215","-625,225","-667,242"
"245,-473","0,0","12,-24","29,-68","64,-140","115,-224","147,-284","174,-350","197,-404","224,-446","235,-456"
"-41,256","0,0","-6,27","-16,72","-26,122","-37,165","-45,186","-54,199","-56,212","-51,227","-44,244"
"340,-366","0,0","22,-15","89,-72","149,-132","183,-201","201,-250","214,-281","228,-305","258,-329","300,-349"
"154,154","0,0","8,10","35,32","64,57","81,81","97,100","105,112","114,123","126,133","140,141"
"-695,230","0,0","-97,38","-183,77","-278,109","-387,131","-481,154","-567,179","-635,197","-656,207","-671,218"
"-543,75","0,0","-22,3","-176,35","-414,82","-505,104","-539,117","-551,110","-566,68","-552,57","-546,63"
"-681,105","0,0","-18,3","-188,36","-446,88","-595,119","-634,134","-646,143","-658,148","-668,141","-680,120"
"-601,-494","0,0","-102,-67","-470,-218","-571,-283","-579,-309","-571,-340","-587,-420","-606,-460","-610,-472","-601,-494"
"76,-192","0,0","6,-11","21,-46","42,-89","64,-132","77,-160","79,-168","77,-175","77,-182","76,-192"
"616,-223","0,0","67,-14","258,-68","340,-102","397,-132","468,-172","526,-192","548,-202","589,-214","605,-220"
"-883,-426","0,0","-74,-13","-360,-117","-485,-176","-574,-216","-654,-249","-739,-296","-815,-357","-852,-394","-872,-415"
